test_name,sample_time,rpm_l,rpm_r,v_l_mps,v_r_mps,distance
Test 4: 0.4m forward,1.230240821838379,49,-52,0.16420057602762653,-0.17425367251911386,0.13444512776823192
Test 4: 0.4m forward,1.2813491821289062,49,-52,0.16420057602762653,-0.17425367251911386,0.14309404860652516
Test 4: 0.4m forward,1.3324534893035889,45,-47,0.15079644737231007,-0.1574985116999683,0.15097164875094313
Test 4: 0.4m forward,1.3835620880126953,45,-47,0.15079644737231007,-0.1574985116999683,0.15884991042457586
Test 4: 0.4m forward,1.4346678256988525,42,-43,0.14074335088082274,-0.14409438304465186,0.16612833168113322
Test 4: 0.4m forward,1.4857814311981201,42,-43,0.14074335088082274,-0.14409438304465186,0.17340787346271924
Test 4: 0.4m forward,1.5368874073028564,41,-42,0.13739231871699362,-0.14074335088082274,0.18051507090488966
Test 4: 0.4m forward,1.5879909992218018,41,-42,0.13739231871699362,-0.14074335088082274,0.18762193678350436
Test 4: 0.4m forward,1.6390938758850098,41,-42,0.13739231871699362,-0.14074335088082274,0.19472870319305235
Test 4: 0.4m forward,1.6902012825012207,41,-42,0.13739231871699362,-0.14074335088082274,0.20183609957335621
Test 4: 0.4m forward,1.7413082122802734,43,-44,0.14409438304465186,-0.14744541520848095,0.20928595157191723
Test 4: 0.4m forward,1.7924296855926514,43,-44,0.14409438304465186,-0.14744541520848095,0.21673792357986402
Test 4: 0.4m forward,1.8435442447662354,47,-47,0.1574985116999683,-0.1574985116999683,0.22478839057590347
Test 4: 0.4m forward,1.8946857452392578,47,-47,0.1574985116999683,-0.1574985116999683,0.23284310078650772
Test 4: 0.4m forward,1.9480431079864502,51,-52,0.17090264035528474,-0.17425367251911386,0.24205141608176908
Test 4: 0.4m forward,1.9991624355316162,51,-52,0.17090264035528474,-0.17425367251911386,0.25087349538782316
Test 4: 0.4m forward,2.0502724647521973,55,-56,0.1843067690106012,-0.18765780117443032,0.2603790554134121
Test 4: 0.4m forward,2.101393699645996,58,-59,0.19435986550208856,-0.19771089766591765,0.2704006262028634
Test 4: 0.4m forward,2.1525309085845947,58,-59,0.19435986550208856,-0.19771089766591765,0.2804253284702825
Test 4: 0.4m forward,2.203650712966919,59,-60,0.19771089766591765,-0.20106192982974677,0.29061792293756483
Test 4: 0.4m forward,2.254769802093506,59,-60,0.19771089766591765,-0.20106192982974677,0.3008103747925708
Test 4: 0.4m forward,2.3058784008026123,60,-60,0.20106192982974677,-0.20106192982974677,0.3110863682799178
Test 4: 0.4m forward,2.3569936752319336,60,-60,0.20106192982974677,-0.20106192982974677,0.3213637040004543
Test 4: 0.4m forward,2.4081058502197266,59,-60,0.19771089766591765,-0.20106192982974677,0.33155477727012195
Test 4: 0.4m forward,2.459212064743042,59,-60,0.19771089766591765,-0.20106192982974677,0.3417446621041532
Test 4: 0.4m forward,2.5103273391723633,58,-58,0.19435986550208856,-0.19435986550208856,0.3516794199673384
Test 4: 0.4m forward,2.561432361602783,58,-58,0.19435986550208856,-0.19435986550208856,0.36161218525339606
Test 4: 0.4m forward,2.612535238265991,57,-57,0.19100883333825944,-0.19100883333825944,0.37137328610506437
Test 4: 0.4m forward,2.66363787651062,57,-57,0.19100883333825944,-0.19100883333825944,0.38113434141667807
Test 4: 0.4m forward,2.7147417068481445,56,-56,0.18765780117443032,-0.18765780117443032,0.39072437384940906
Test 4: 0.4m forward,2.765852212905884,56,-56,0.18765780117443032,-0.18765780117443032,0.40031565903311683
Test 4: 0.4m forward,2.817682981491089,54,-55,0.1809557368467721,-0.1843067690106012,0.4097815772400896
Test 5: 0.5m forward,0.05006861686706543,0,0,0.0,0.0,0.0
Test 5: 0.5m forward,0.10352396965026855,0,0,0.0,0.0,0.0
Test 5: 0.5m forward,0.1546475887298584,0,0,0.0,0.0,0.0
Test 5: 0.5m forward,0.2057633399963379,4,-3,0.013404128655316452,-0.01005309649148734,0.0005995168430029152
Test 5: 0.5m forward,0.25687575340270996,4,-3,0.013404128655316452,-0.01005309649148734,0.0011989945375378063
Test 5: 0.5m forward,0.3079807758331299,11,-11,0.03686135380212024,-0.03686135380212024,0.003082794850410806
Test 5: 0.5m forward,0.35908961296081543,11,-11,0.03686135380212024,-0.03686135380212024,0.004966735778189362
Test 5: 0.5m forward,0.4102060794830322,20,-19,0.06702064327658225,-0.06366961111275314,0.008306947784825592
Test 5: 0.5m forward,0.46132493019104004,20,-19,0.06702064327658225,-0.06366961111275314,0.011647315586385591
Test 5: 0.5m forward,0.5124385356903076,28,-28,0.09382890058721516,-0.09382890058721516,0.016443248995430503
Test 5: 0.5m forward,0.5635533332824707,28,-28,0.09382890058721516,-0.09382890058721516,0.0212392942572412
Test 5: 0.5m forward,0.614703893661499,37,-37,0.12398819006167718,-0.12398819006167718,0.02758135965927746
Test 5: 0.5m forward,0.6658179759979248,37,-37,0.12398819006167718,-0.12398819006167718,0.033918902214834436
Test 5: 0.5m forward,0.7169234752655029,44,-45,0.14744541520848095,-0.15079644737231007,0.04153980185967631
Test 5: 0.5m forward,0.7680366039276123,44,-45,0.14744541520848095,-0.15079644737231007,0.04916183920693587
Test 5: 0.5m forward,0.8191733360290527,51,-52,0.17090264035528474,-0.17425367251911386,0.05798692215922541
Test 5: 0.5m forward,0.8703749179840088,51,-52,0.17090264035528474,-0.17425367251911386,0.06682319677967989
Test 5: 0.5m forward,0.9215075969696045,58,-58,0.19435986550208856,-0.19435986550208856,0.07676133739008174
Test 5: 0.5m forward,0.9726316928863525,58,-58,0.19435986550208856,-0.19435986550208856,0.08669780979637677
Test 5: 0.5m forward,1.0257723331451416,58,-59,0.19435986550208856,-0.19771089766591765,0.09711525548712673
Test 5: 0.5m forward,1.0768766403198242,58,-59,0.19435986550208856,-0.19771089766591765,0.10713350784470174
Test 5: 0.5m forward,1.1279840469360352,55,-56,0.1843067690106012,-0.18765780117443032,0.116638580112337
Test 5: 0.5m forward,1.1791105270385742,55,-56,0.1843067690106012,-0.18765780117443032,0.12614719971054425
Test 5: 0.5m forward,1.2302181720733643,50,-51,0.16755160819145565,-0.17090264035528474,0.13479599950816595
Test 5: 0.5m forward,1.2813262939453125,50,-51,0.16755160819145565,-0.17090264035528474,0.14344487999956868
Test 5: 0.5m forward,1.3324294090270996,46,-47,0.1541474795361392,-0.1574985116999683,0.1514079204770269
Test 5: 0.5m forward,1.3835315704345703,46,-47,0.1541474795361392,-0.1574985116999683,0.15937081235009629
Test 5: 0.5m forward,1.434638261795044,43,-44,0.14409438304465186,-0.14744541520848095,0.16682062959440508
Test 5: 0.5m forward,1.4857542514801025,43,-44,0.14409438304465186,-0.14744541520848095,0.1742718022545507
Test 5: 0.5m forward,1.536862850189209,42,-42,0.14074335088082274,-0.14074335088082274,0.18146499769569363
Test 5: 0.5m forward,1.587965488433838,42,-42,0.14074335088082274,-0.14074335088082274,0.1886573542410932
Test 5: 0.5m forward,1.6390697956085205,41,-42,0.13739231871699362,-0.14074335088082274,0.19576431958877463
Test 5: 0.5m forward,1.6901867389678955,41,-42,0.13739231871699362,-0.14074335088082274,0.20287304222330135
Test 5: 0.5m forward,1.7412924766540527,43,-44,0.14409438304465186,-0.14744541520848095,0.21032272045060124
Test 5: 0.5m forward,1.7924001216888428,43,-44,0.14409438304465186,-0.14744541520848095,0.21777267671191894
Test 5: 0.5m forward,1.843512773513794,46,-47,0.1541474795361392,-0.1574985116999683,0.2257372032332654
